05/31/2024-11:20:57 AM: (files_management.py): INFO: init_logger Line: 268 - Started
05/31/2024-11:24:57 AM: (files_management.py): INFO: report_metric_from_log Line: 144 - ================== Final report ==================
05/31/2024-11:24:57 AM: (files_management.py): INFO: report_metric_from_log Line: 146 - __________________ Model : KNN_direct __________________
05/31/2024-11:24:57 AM: (files_management.py): INFO: report_metric_from_log Line: 160 - f1_score_macro : 80.0495 +/- 2.4071196584299654
05/31/2024-11:24:57 AM: (files_management.py): INFO: report_metric_from_log Line: 160 - f1_score_weighted : 81.21139999999998 +/- 2.1977032192723396
05/31/2024-11:24:57 AM: (files_management.py): INFO: report_metric_from_log Line: 160 - accuracy_score : 81.4331 +/- 2.115146446466532
05/31/2024-11:24:57 AM: (files_management.py): INFO: report_metric_from_log Line: 160 - precision_score_macro : 80.9662 +/- 2.2078167405833327
05/31/2024-11:24:57 AM: (files_management.py): INFO: report_metric_from_log Line: 160 - recall_score_macro : 79.591 +/- 2.5536720227938456
05/31/2024-11:24:57 AM: (files_management.py): INFO: report_metric_from_log Line: 160 - roc_auc_score : 79.591 +/- 2.5536720227938456
05/31/2024-11:24:57 AM: (files_management.py): INFO: report_metric_from_log Line: 160 - log_loss : 669.2205 +/- 76.23318944036122
05/31/2024-11:24:57 AM: (files_management.py): INFO: report_metric_from_log Line: 160 - kappa_score : 60.20550000000001 +/- 4.765740115658848
05/31/2024-11:24:57 AM: (files_management.py): INFO: report_metric_from_log Line: 146 - __________________ Model : RandomForest_direct __________________
05/31/2024-11:24:57 AM: (files_management.py): INFO: report_metric_from_log Line: 160 - f1_score_macro : 81.37440000000001 +/- 2.5749938718373695
05/31/2024-11:24:57 AM: (files_management.py): INFO: report_metric_from_log Line: 160 - f1_score_weighted : 82.3305 +/- 2.4273064598439134
05/31/2024-11:24:57 AM: (files_management.py): INFO: report_metric_from_log Line: 160 - accuracy_score : 82.38219999999998 +/- 2.393068189584244
05/31/2024-11:24:57 AM: (files_management.py): INFO: report_metric_from_log Line: 160 - precision_score_macro : 81.6235 +/- 2.5146009723214524
05/31/2024-11:24:57 AM: (files_management.py): INFO: report_metric_from_log Line: 160 - recall_score_macro : 81.2903 +/- 2.6723975396635917
05/31/2024-11:24:57 AM: (files_management.py): INFO: report_metric_from_log Line: 160 - roc_auc_score : 81.2903 +/- 2.6723975396635917
05/31/2024-11:24:57 AM: (files_management.py): INFO: report_metric_from_log Line: 160 - log_loss : 635.0056000000001 +/- 86.25775967204343
05/31/2024-11:24:57 AM: (files_management.py): INFO: report_metric_from_log Line: 160 - kappa_score : 62.7846 +/- 5.138408784828239
05/31/2024-11:24:57 AM: (files_management.py): INFO: report_metric_from_log Line: 146 - __________________ Model : MLP_direct __________________
05/31/2024-11:24:57 AM: (files_management.py): INFO: report_metric_from_log Line: 160 - f1_score_macro : 77.7601 +/- 2.739385020401481
05/31/2024-11:24:57 AM: (files_management.py): INFO: report_metric_from_log Line: 160 - f1_score_weighted : 78.90119999999999 +/- 2.506949891800791
05/31/2024-11:24:57 AM: (files_management.py): INFO: report_metric_from_log Line: 160 - accuracy_score : 78.96459999999999 +/- 2.478996377568958
05/31/2024-11:24:57 AM: (files_management.py): INFO: report_metric_from_log Line: 160 - precision_score_macro : 78.02829999999999 +/- 2.6520894800138266
05/31/2024-11:24:57 AM: (files_management.py): INFO: report_metric_from_log Line: 160 - recall_score_macro : 77.7396 +/- 2.974431616292431
05/31/2024-11:24:57 AM: (files_management.py): INFO: report_metric_from_log Line: 160 - roc_auc_score : 77.7396 +/- 2.974431616292431
05/31/2024-11:24:57 AM: (files_management.py): INFO: report_metric_from_log Line: 160 - log_loss : 758.1964 +/- 89.34990235495503
05/31/2024-11:24:57 AM: (files_management.py): INFO: report_metric_from_log Line: 160 - kappa_score : 55.5831 +/- 5.49004734861185
05/31/2024-11:24:57 AM: (files_management.py): INFO: report_metric_from_log Line: 146 - __________________ Model : SVMrbf_direct __________________
05/31/2024-11:24:57 AM: (files_management.py): ERROR: report_metric_from_log Line: 164 - No results found for model SVMrbf_direct. Skipping metrics.
05/31/2024-11:24:57 AM: (files_management.py): INFO: report_metric_from_log Line: 146 - __________________ Model : LogisticR_direct __________________
05/31/2024-11:24:57 AM: (files_management.py): INFO: report_metric_from_log Line: 160 - f1_score_macro : 80.4001 +/- 2.1147521107685407
05/31/2024-11:24:57 AM: (files_management.py): INFO: report_metric_from_log Line: 160 - f1_score_weighted : 81.5018 +/- 1.8798626971138077
05/31/2024-11:24:57 AM: (files_management.py): INFO: report_metric_from_log Line: 160 - accuracy_score : 81.66629999999999 +/- 1.8407933642861711
05/31/2024-11:24:57 AM: (files_management.py): INFO: report_metric_from_log Line: 160 - precision_score_macro : 81.1321 +/- 2.0961253516905884
05/31/2024-11:24:57 AM: (files_management.py): INFO: report_metric_from_log Line: 160 - recall_score_macro : 80.05229999999999 +/- 2.193526706014769
05/31/2024-11:24:57 AM: (files_management.py): INFO: report_metric_from_log Line: 160 - roc_auc_score : 80.05229999999999 +/- 2.193526706014769
05/31/2024-11:24:57 AM: (files_management.py): INFO: report_metric_from_log Line: 160 - log_loss : 660.813 +/- 66.3490801820191
05/31/2024-11:24:57 AM: (files_management.py): INFO: report_metric_from_log Line: 160 - kappa_score : 60.8865 +/- 4.1994580424145225
05/31/2024-11:24:57 AM: (files_management.py): INFO: report_metric_from_log Line: 146 - __________________ Model : AdaBoost_direct __________________
05/31/2024-11:24:57 AM: (files_management.py): INFO: report_metric_from_log Line: 160 - f1_score_macro : 79.9525 +/- 2.171301142172593
05/31/2024-11:24:57 AM: (files_management.py): INFO: report_metric_from_log Line: 160 - f1_score_weighted : 81.0241 +/- 1.9750913624437705
05/31/2024-11:24:57 AM: (files_management.py): INFO: report_metric_from_log Line: 160 - accuracy_score : 81.1153 +/- 1.9615376646906344
05/31/2024-11:24:57 AM: (files_management.py): INFO: report_metric_from_log Line: 160 - precision_score_macro : 80.32469999999999 +/- 2.2300181187604724
05/31/2024-11:24:57 AM: (files_management.py): INFO: report_metric_from_log Line: 160 - recall_score_macro : 79.7413 +/- 2.1870338383298957
05/31/2024-11:24:57 AM: (files_management.py): INFO: report_metric_from_log Line: 160 - roc_auc_score : 79.7413 +/- 2.1870338383298957
05/31/2024-11:24:57 AM: (files_management.py): INFO: report_metric_from_log Line: 160 - log_loss : 680.6699000000001 +/- 70.69721826132906
05/31/2024-11:24:57 AM: (files_management.py): INFO: report_metric_from_log Line: 160 - kappa_score : 59.941500000000005 +/- 4.340367133089092
05/31/2024-11:24:57 AM: (files_management.py): INFO: report_metric_from_log Line: 169 - ================== End report ==================
