05/31/2024-01:26:37 PM: (files_management.py): INFO: init_logger Line: 268 - Started
05/31/2024-01:31:38 PM: (files_management.py): INFO: report_metric_from_log Line: 144 - ================== Final report ==================
05/31/2024-01:31:38 PM: (files_management.py): INFO: report_metric_from_log Line: 146 - __________________ Model : KNN_direct __________________
05/31/2024-01:31:38 PM: (files_management.py): INFO: report_metric_from_log Line: 160 - f1_score_macro : 78.2163076923077 +/- 5.052692966430649
05/31/2024-01:31:38 PM: (files_management.py): INFO: report_metric_from_log Line: 160 - f1_score_weighted : 79.71784615384617 +/- 4.592134208809228
05/31/2024-01:31:38 PM: (files_management.py): INFO: report_metric_from_log Line: 160 - accuracy_score : 79.82184615384615 +/- 4.536572610821349
05/31/2024-01:31:38 PM: (files_management.py): INFO: report_metric_from_log Line: 160 - precision_score_macro : 79.05192307692307 +/- 4.964723177061543
05/31/2024-01:31:38 PM: (files_management.py): INFO: report_metric_from_log Line: 160 - recall_score_macro : 78.45992307692308 +/- 4.857340447698933
05/31/2024-01:31:38 PM: (files_management.py): INFO: report_metric_from_log Line: 160 - roc_auc_score : 78.45992307692308 +/- 4.857340447698933
05/31/2024-01:31:38 PM: (files_management.py): INFO: report_metric_from_log Line: 160 - log_loss : 727.2909999999999 +/- 163.51205201264102
05/31/2024-01:31:38 PM: (files_management.py): INFO: report_metric_from_log Line: 160 - kappa_score : 56.75061538461538 +/- 9.939649069323412
05/31/2024-01:31:38 PM: (files_management.py): INFO: report_metric_from_log Line: 146 - __________________ Model : RandomForest_direct __________________
05/31/2024-01:31:38 PM: (files_management.py): INFO: report_metric_from_log Line: 160 - f1_score_macro : 79.86423076923077 +/- 4.953029176541224
05/31/2024-01:31:38 PM: (files_management.py): INFO: report_metric_from_log Line: 160 - f1_score_weighted : 81.07215384615385 +/- 4.7094460697648595
05/31/2024-01:31:38 PM: (files_management.py): INFO: report_metric_from_log Line: 160 - accuracy_score : 80.96407692307693 +/- 4.764542216472047
05/31/2024-01:31:38 PM: (files_management.py): INFO: report_metric_from_log Line: 160 - precision_score_macro : 80.00923076923078 +/- 5.0772569843575095
05/31/2024-01:31:38 PM: (files_management.py): INFO: report_metric_from_log Line: 160 - recall_score_macro : 80.51115384615385 +/- 4.5657420130990225
05/31/2024-01:31:38 PM: (files_management.py): INFO: report_metric_from_log Line: 160 - roc_auc_score : 80.51115384615385 +/- 4.5657420130990225
05/31/2024-01:31:38 PM: (files_management.py): INFO: report_metric_from_log Line: 160 - log_loss : 686.1237692307691 +/- 171.73403371813228
05/31/2024-01:31:38 PM: (files_management.py): INFO: report_metric_from_log Line: 160 - kappa_score : 59.94176923076923 +/- 9.770146303556535
